"cluster","sample","group","sample_id","n_cells"
"14","GSE203115_1","ypN0","ypN05",40
"14","GSE203115_2","ypN+","ypN.7",14
"14","GSE203115_3","ypN0","ypN06",36
"14","HRR1430835","ypN+","ypN.2",7
"14","HRR1430849","ypN0","ypN03",112
"14","HRR1430852","ypN0","ypN02",30
"14","HRR1430853","ypN+","ypN.4",15
"14","HRR1430854","ypN+","ypN.1",160
"14","HRR1430856","ypN+","ypN.5",59
"14","HRR1430859","ypN0","ypN04",233
"14","HRR1430863","ypN+","ypN.3",2
"14","HRR1430865","ypN+","ypN.6",12
"14","HRS849523","ypN0","ypN08",15
"14","HRS849526","ypN0","ypN09",423
"14","HRS849531","ypN0","ypN010",37
"14","HRS849542","ypN+","ypN.8",31
"14","HRS849550","ypN0","ypN015",52
"15","GSE203115_1","ypN0","ypN05",49
"15","GSE203115_2","ypN+","ypN.7",9
"15","GSE203115_3","ypN0","ypN06",51
"15","HRR1430835","ypN+","ypN.2",56
"15","HRR1430840","ypN0","ypN01",14
"15","HRR1430849","ypN0","ypN03",22
"15","HRR1430852","ypN0","ypN02",13
"15","HRR1430853","ypN+","ypN.4",19
"15","HRR1430854","ypN+","ypN.1",30
"15","HRR1430856","ypN+","ypN.5",107
"15","HRR1430859","ypN0","ypN04",101
"15","HRR1430863","ypN+","ypN.3",18
"15","HRR1430865","ypN+","ypN.6",147
"15","HRS849523","ypN0","ypN08",41
"15","HRS849526","ypN0","ypN09",3
"15","HRS849531","ypN0","ypN010",15
"15","HRS849542","ypN+","ypN.8",13
"15","HRS849550","ypN0","ypN015",31
"16","GSE203115_1","ypN0","ypN05",8
"16","GSE203115_2","ypN+","ypN.7",2
"16","GSE203115_3","ypN0","ypN06",37
"16","HRR1430849","ypN0","ypN03",2
"16","HRR1430854","ypN+","ypN.1",7
"16","HRR1430859","ypN0","ypN04",13
"16","HRR1430865","ypN+","ypN.6",2
"16","HRS849523","ypN0","ypN08",45
"16","HRS849526","ypN0","ypN09",79
"16","HRS849531","ypN0","ypN010",59
"16","HRS849542","ypN+","ypN.8",38
"16","HRS849550","ypN0","ypN015",309
"17","GSE203115_1","ypN0","ypN05",1
"17","GSE203115_2","ypN+","ypN.7",4
"17","GSE203115_3","ypN0","ypN06",4
"17","HRR1430835","ypN+","ypN.2",44
"17","HRR1430840","ypN0","ypN01",82
"17","HRR1430849","ypN0","ypN03",72
"17","HRR1430852","ypN0","ypN02",92
"17","HRR1430853","ypN+","ypN.4",48
"17","HRR1430854","ypN+","ypN.1",6
"17","HRR1430856","ypN+","ypN.5",122
"17","HRR1430859","ypN0","ypN04",18
"17","HRR1430863","ypN+","ypN.3",3
"17","HRR1430865","ypN+","ypN.6",5
"17","HRS849523","ypN0","ypN08",9
"17","HRS849526","ypN0","ypN09",1
"17","HRS849531","ypN0","ypN010",3
"17","HRS849542","ypN+","ypN.8",3
"18","GSE203115_1","ypN0","ypN05",4
"18","GSE203115_3","ypN0","ypN06",1
"18","HRR1430835","ypN+","ypN.2",64
"18","HRR1430840","ypN0","ypN01",35
"18","HRR1430849","ypN0","ypN03",258
"18","HRR1430852","ypN0","ypN02",1
"18","HRR1430853","ypN+","ypN.4",10
"18","HRR1430854","ypN+","ypN.1",11
"18","HRR1430856","ypN+","ypN.5",10
"18","HRR1430859","ypN0","ypN04",81
"18","HRR1430863","ypN+","ypN.3",39
"18","HRR1430865","ypN+","ypN.6",1
"18","HRS849526","ypN0","ypN09",1
"19","GSE203115_1","ypN0","ypN05",11
"19","GSE203115_3","ypN0","ypN06",25
"19","HRR1430835","ypN+","ypN.2",65
"19","HRR1430840","ypN0","ypN01",21
"19","HRR1430849","ypN0","ypN03",48
"19","HRR1430852","ypN0","ypN02",61
"19","HRR1430853","ypN+","ypN.4",48
"19","HRR1430854","ypN+","ypN.1",35
"19","HRR1430856","ypN+","ypN.5",32
"19","HRR1430859","ypN0","ypN04",38
"19","HRR1430863","ypN+","ypN.3",47
"19","HRR1430865","ypN+","ypN.6",23
"19","HRS849523","ypN0","ypN08",1
"19","HRS849531","ypN0","ypN010",1
"19","HRS849542","ypN+","ypN.8",6
"19","HRS849550","ypN0","ypN015",4
"2","GSE203115_1","ypN0","ypN05",110
"2","GSE203115_2","ypN+","ypN.7",26
"2","GSE203115_3","ypN0","ypN06",64
"2","HRR1430835","ypN+","ypN.2",344
"2","HRR1430840","ypN0","ypN01",403
"2","HRR1430849","ypN0","ypN03",1515
"2","HRR1430852","ypN0","ypN02",1903
"2","HRR1430853","ypN+","ypN.4",1882
"2","HRR1430854","ypN+","ypN.1",266
"2","HRR1430856","ypN+","ypN.5",672
"2","HRR1430859","ypN0","ypN04",709
"2","HRR1430863","ypN+","ypN.3",297
"2","HRR1430865","ypN+","ypN.6",225
"2","HRS849523","ypN0","ypN08",51
"2","HRS849526","ypN0","ypN09",76
"2","HRS849531","ypN0","ypN010",84
"2","HRS849542","ypN+","ypN.8",161
"2","HRS849550","ypN0","ypN015",20
"20","GSE203115_1","ypN0","ypN05",8
"20","GSE203115_2","ypN+","ypN.7",13
"20","GSE203115_3","ypN0","ypN06",1
"20","HRR1430835","ypN+","ypN.2",17
"20","HRR1430840","ypN0","ypN01",4
"20","HRR1430849","ypN0","ypN03",8
"20","HRR1430852","ypN0","ypN02",29
"20","HRR1430853","ypN+","ypN.4",15
"20","HRR1430854","ypN+","ypN.1",29
"20","HRR1430856","ypN+","ypN.5",69
"20","HRR1430859","ypN0","ypN04",7
"20","HRR1430863","ypN+","ypN.3",3
"20","HRR1430865","ypN+","ypN.6",6
"20","HRS849523","ypN0","ypN08",11
"20","HRS849526","ypN0","ypN09",10
"20","HRS849531","ypN0","ypN010",16
"20","HRS849542","ypN+","ypN.8",11
"20","HRS849550","ypN0","ypN015",7
"21","GSE203115_1","ypN0","ypN05",8
"21","GSE203115_2","ypN+","ypN.7",9
"21","GSE203115_3","ypN0","ypN06",10
"21","HRR1430835","ypN+","ypN.2",11
"21","HRR1430849","ypN0","ypN03",7
"21","HRR1430852","ypN0","ypN02",4
"21","HRR1430853","ypN+","ypN.4",4
"21","HRR1430854","ypN+","ypN.1",10
"21","HRR1430856","ypN+","ypN.5",9
"21","HRR1430859","ypN0","ypN04",1
"21","HRR1430863","ypN+","ypN.3",9
"21","HRR1430865","ypN+","ypN.6",3
"21","HRS849523","ypN0","ypN08",23
"21","HRS849526","ypN0","ypN09",3
"21","HRS849531","ypN0","ypN010",124
"21","HRS849542","ypN+","ypN.8",1
"22","HRS849523","ypN0","ypN08",9
"22","HRS849526","ypN0","ypN09",131
"22","HRS849531","ypN0","ypN010",1
"22","HRS849542","ypN+","ypN.8",22
"22","HRS849550","ypN0","ypN015",17
"3","GSE203115_1","ypN0","ypN05",143
"3","GSE203115_2","ypN+","ypN.7",73
