"cluster","sample","group","sample_id","n_cells"
"2","GSE203115_2","ypN+","ypN.7",107
"2","GSE203115_3","ypN0","ypN06",267
"2","HRR1430835","ypN+","ypN.2",1340
"2","HRR1430840","ypN0","ypN01",212
"2","HRR1430849","ypN0","ypN03",930
"2","HRR1430852","ypN0","ypN02",1505
"2","HRR1430853","ypN+","ypN.4",884
"2","HRR1430854","ypN+","ypN.1",746
"2","HRR1430856","ypN+","ypN.5",592
"2","HRR1430859","ypN0","ypN04",839
"2","HRR1430863","ypN+","ypN.3",747
"2","HRR1430865","ypN+","ypN.6",617
"2","HRS849523","ypN0","ypN08",19
"2","HRS849526","ypN0","ypN09",319
"2","HRS849531","ypN0","ypN010",33
"2","HRS849542","ypN+","ypN.8",150
"2","HRS849550","ypN0","ypN015",23
"3","GSE203115_1","ypN0","ypN05",109
"3","GSE203115_2","ypN+","ypN.7",27
"3","GSE203115_3","ypN0","ypN06",62
"3","HRR1430835","ypN+","ypN.2",344
"3","HRR1430840","ypN0","ypN01",407
"3","HRR1430849","ypN0","ypN03",1515
"3","HRR1430852","ypN0","ypN02",1901
"3","HRR1430853","ypN+","ypN.4",1889
"3","HRR1430854","ypN+","ypN.1",250
"3","HRR1430856","ypN+","ypN.5",678
"3","HRR1430859","ypN0","ypN04",715
"3","HRR1430863","ypN+","ypN.3",290
"3","HRR1430865","ypN+","ypN.6",224
"3","HRS849523","ypN0","ypN08",49
"3","HRS849526","ypN0","ypN09",74
"3","HRS849531","ypN0","ypN010",58
"3","HRS849542","ypN+","ypN.8",159
"3","HRS849550","ypN0","ypN015",16
"4","GSE203115_1","ypN0","ypN05",134
"4","GSE203115_2","ypN+","ypN.7",59
"4","GSE203115_3","ypN0","ypN06",197
"4","HRR1430835","ypN+","ypN.2",951
"4","HRR1430840","ypN0","ypN01",177
"4","HRR1430849","ypN0","ypN03",712
"4","HRR1430852","ypN0","ypN02",1120
"4","HRR1430853","ypN+","ypN.4",612
"4","HRR1430854","ypN+","ypN.1",559
"4","HRR1430856","ypN+","ypN.5",652
"4","HRR1430859","ypN0","ypN04",518
"4","HRR1430863","ypN+","ypN.3",703
"4","HRR1430865","ypN+","ypN.6",457
"4","HRS849523","ypN0","ypN08",5
"4","HRS849526","ypN0","ypN09",110
"4","HRS849531","ypN0","ypN010",14
"4","HRS849542","ypN+","ypN.8",102
"4","HRS849550","ypN0","ypN015",1
"5","GSE203115_1","ypN0","ypN05",99
"5","GSE203115_2","ypN+","ypN.7",95
"5","GSE203115_3","ypN0","ypN06",177
"5","HRR1430835","ypN+","ypN.2",753
"5","HRR1430840","ypN0","ypN01",121
"5","HRR1430849","ypN0","ypN03",325
"5","HRR1430852","ypN0","ypN02",642
"5","HRR1430853","ypN+","ypN.4",294
"5","HRR1430854","ypN+","ypN.1",304
"5","HRR1430856","ypN+","ypN.5",690
"5","HRR1430859","ypN0","ypN04",183
"5","HRR1430863","ypN+","ypN.3",982
"5","HRR1430865","ypN+","ypN.6",562
"5","HRS849523","ypN0","ypN08",36
"5","HRS849526","ypN0","ypN09",62
"5","HRS849531","ypN0","ypN010",20
"5","HRS849542","ypN+","ypN.8",67
"5","HRS849550","ypN0","ypN015",1
"6","GSE203115_1","ypN0","ypN05",142
"6","GSE203115_2","ypN+","ypN.7",304
"6","GSE203115_3","ypN0","ypN06",44
"6","HRR1430835","ypN+","ypN.2",13
"6","HRR1430840","ypN0","ypN01",35
"6","HRR1430849","ypN0","ypN03",122
"6","HRR1430852","ypN0","ypN02",15
"6","HRR1430853","ypN+","ypN.4",182
"6","HRR1430854","ypN+","ypN.1",87
"6","HRR1430856","ypN+","ypN.5",237
"6","HRR1430859","ypN0","ypN04",480
"6","HRR1430863","ypN+","ypN.3",52
"6","HRR1430865","ypN+","ypN.6",538
"6","HRS849523","ypN0","ypN08",787
"6","HRS849526","ypN0","ypN09",614
"6","HRS849531","ypN0","ypN010",378
"6","HRS849542","ypN+","ypN.8",395
"6","HRS849550","ypN0","ypN015",395
"7","GSE203115_1","ypN0","ypN05",110
"7","GSE203115_2","ypN+","ypN.7",112
"7","GSE203115_3","ypN0","ypN06",22
"7","HRR1430835","ypN+","ypN.2",18
"7","HRR1430840","ypN0","ypN01",51
"7","HRR1430849","ypN0","ypN03",144
"7","HRR1430852","ypN0","ypN02",20
"7","HRR1430853","ypN+","ypN.4",63
"7","HRR1430854","ypN+","ypN.1",89
"7","HRR1430856","ypN+","ypN.5",350
"7","HRR1430859","ypN0","ypN04",647
"7","HRR1430863","ypN+","ypN.3",70
"7","HRR1430865","ypN+","ypN.6",1242
"7","HRS849523","ypN0","ypN08",238
"7","HRS849526","ypN0","ypN09",218
"7","HRS849531","ypN0","ypN010",385
"7","HRS849542","ypN+","ypN.8",225
"7","HRS849550","ypN0","ypN015",430
"8","GSE203115_1","ypN0","ypN05",53
"8","GSE203115_2","ypN+","ypN.7",15
"8","GSE203115_3","ypN0","ypN06",41
"8","HRR1430835","ypN+","ypN.2",406
"8","HRR1430840","ypN0","ypN01",98
"8","HRR1430849","ypN0","ypN03",529
"8","HRR1430852","ypN0","ypN02",123
"8","HRR1430853","ypN+","ypN.4",107
"8","HRR1430854","ypN+","ypN.1",109
"8","HRR1430856","ypN+","ypN.5",162
"8","HRR1430859","ypN0","ypN04",264
"8","HRR1430863","ypN+","ypN.3",229
"8","HRR1430865","ypN+","ypN.6",104
"8","HRS849523","ypN0","ypN08",9
"8","HRS849526","ypN0","ypN09",75
"8","HRS849531","ypN0","ypN010",17
"8","HRS849542","ypN+","ypN.8",48
"8","HRS849550","ypN0","ypN015",15
"9","GSE203115_1","ypN0","ypN05",45
"9","GSE203115_2","ypN+","ypN.7",145
"9","GSE203115_3","ypN0","ypN06",23
"9","HRR1430835","ypN+","ypN.2",238
"9","HRR1430840","ypN0","ypN01",22
"9","HRR1430849","ypN0","ypN03",105
"9","HRR1430852","ypN0","ypN02",112
"9","HRR1430853","ypN+","ypN.4",57
"9","HRR1430854","ypN+","ypN.1",289
"9","HRR1430856","ypN+","ypN.5",151
"9","HRR1430859","ypN0","ypN04",22
"9","HRR1430863","ypN+","ypN.3",203
"9","HRR1430865","ypN+","ypN.6",310
"9","HRS849523","ypN0","ypN08",106
"9","HRS849526","ypN0","ypN09",10
"9","HRS849531","ypN0","ypN010",186
"9","HRS849542","ypN+","ypN.8",14
"9","HRS849550","ypN0","ypN015",17
